datetime,us_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,temperature_2m,relative_humidity_2m,wind_speed_10m,hour_sin,wind_u,wind_v,pm2_5_rolling_mean_36h,carbon_monoxide_rolling_mean_36h,pm10_rolling_mean_36h,pm2_5_rolling_std_72h,pm10_rolling_std_72h,aqi_change_rate,pm_ratio,is_rush_hour,precip_likelihood
2025-11-11 22:00:00,115,40.9,46.4,1301.0,60.1,24.5,10.0,0.0,23.5,72,5.0,-0.5000000000000004,4.727592877996584,1.6278407722857833,35.8,878.25,45.333333333333336,11.26282680349993,19.069073797870267,-1.0,0.8814655172413793,0,0
2025-11-11 23:00:00,115,46.1,52.3,1301.0,60.1,26.0,10.0,0.0,22.5,79,2.3,-0.25881904510252157,2.2943973155975956,0.16043988961148883,36.18333333333333,878.25,45.40277777777778,11.178713895891594,19.032544403702012,0.0,0.8814531548757171,0,0
2025-11-12 00:00:00,114,48.7,55.4,1301.0,60.1,25.7,8.0,0.0,22.6,78,3.5,0.0,3.090316575006245,-1.6431504697506165,36.730555555555554,902.7222222222222,45.69166666666667,11.05598924920619,18.853197333264905,-1.0,0.8790613718411553,0,0
2025-11-12 01:00:00,114,46.6,53.6,937.0,60.1,24.6,6.0,0.0,21.6,82,7.0,0.25881904510252074,4.499513267805777,-5.362311101832844,37.37222222222222,934.5,46.15,10.929664072114342,18.552919647990855,0.0,0.8694029850746269,0,0
2025-11-12 02:00:00,113,42.0,48.8,645.0,60.1,23.1,7.0,0.0,20.9,83,7.0,0.49999999999999994,1.2155372436685128,-6.893654271085456,37.975,954.8611111111111,46.62777777777777,10.822841344001864,18.23968607949646,-1.0,0.8606557377049181,0,0
2025-11-12 03:00:00,112,35.4,41.1,476.0,60.1,20.7,13.0,0.0,20.5,85,6.5,0.7071067811865476,0.22684672856625535,-6.496040375624123,38.455555555555556,965.0555555555555,46.986111111111114,10.758840307274573,18.03969144767736,-1.0,0.8613138686131386,0,0
2025-11-12 04:00:00,111,29.6,35.0,381.0,48.5,17.8,21.0,0.0,20.3,85,6.5,0.8660254037844386,-0.2268467285662563,-6.496040375624123,38.77777777777778,970.9444444444445,47.169444444444444,10.741128012733022,17.977262416905347,-1.0,0.8457142857142858,0,0
2025-11-12 05:00:00,109,31.8,39.0,437.0,43.3,15.8,22.0,0.0,20.0,85,5.8,0.9659258262890683,-0.2024170808745056,-5.796466796710755,38.975,973.8333333333334,47.230555555555554,10.781493791328709,17.988561778289792,-2.0,0.8153846153846154,0,0
2025-11-12 06:00:00,107,33.5,39.8,796.0,46.4,16.6,16.0,0.0,19.6,86,5.9,1.0,0.20590703054475487,-5.896405879412665,39.25,975.3888888888889,47.45555555555555,10.738305135499786,17.69381804990425,-2.0,0.8417085427135679,0,86
2025-11-12 07:00:00,104,42.5,49.1,1301.0,50.3,17.8,10.0,0.05,19.2,87,5.6,0.9659258262890683,-0.3906362529671017,-5.586358681455015,39.458333333333336,980.0555555555555,47.641666666666666,10.592986337486154,17.207982098065525,-3.0,0.8655804480651731,1,174
2025-11-12 08:00:00,102,49.2,55.1,1301.0,49.5,20.4,16.0,0.6,19.9,84,4.4,0.8660254037844387,-0.6883116461770159,-4.3458286986186065,39.77777777777778,989.3888888888889,47.96944444444445,10.368143321306126,16.102506147347768,-2.0,0.8929219600725953,1,168
2025-11-12 09:00:00,98,33.1,42.0,1301.0,39.7,25.8,45.0,1.95,22.3,73,3.1,0.7071067811865476,-0.1622414643531259,-3.0957515577391788,40.18055555555556,989.4166666666666,48.361111111111114,10.2125164850662,14.34394710204883,-4.0,0.7880952380952382,1,0
2025-11-12 10:00:00,97,22.7,32.9,973.0,25.4,32.0,87.0,3.75,24.8,62,3.4,0.49999999999999994,1.4369020899183773,-3.08144647592461,40.0,989.4166666666666,48.230555555555554,9.999940140666032,13.524396245987782,-1.0,0.6899696048632219,0,0
2025-11-12 11:00:00,96,21.9,29.3,631.0,14.1,32.0,122.0,5.4,26.7,49,2.2,0.258819045102521,2.172914349309303,0.3441558230885083,39.36944444444444,980.3055555555555,47.650000000000006,10.129373512043141,13.11432664608841,-1.0,0.7474402730375426,0,0
2025-11-12 12:00:00,96,23.3,29.5,490.0,9.0,32.0,143.0,6.1,28.1,41,4.1,1.2246467991473532e-16,2.6898420188610785,3.0943092789133653,38.58055555555555,961.6944444444445,46.80833333333333,10.282068712616004,12.96000702474349,0.0,0.7898305084745763,0,0
2025-11-12 13:00:00,96,24.2,30.4,428.0,7.0,32.0,157.0,5.6,28.5,43,8.0,-0.2588190451025208,4.4735432277659735,6.632300580440334,37.77777777777778,939.1666666666666,45.900000000000006,10.401966528894135,12.936085130878123,0.0,0.7960526315789473,0,0
2025-11-12 14:00:00,96,25.1,31.9,397.0,6.7,32.0,163.0,4.1,28.0,52,11.6,-0.4999999999999997,7.610284736289882,8.754631130584157,37.00833333333333,914.9166666666666,45.00555555555555,10.496933004640672,12.992896141989243,0.0,0.7868338557993731,0,0
2025-11-12 15:00:00,95,25.5,32.6,369.0,7.4,31.7,160.0,2.3,27.4,56,12.4,-0.7071067811865471,9.358398794762373,8.13513195948229,36.291666666666664,889.8055555555555,44.172222222222224,10.567695833383894,13.061359945683211,-1.0,0.7822085889570551,0,0
2025-11-12 16:00:00,95,25.0,32.2,373.0,9.9,30.8,148.0,0.9,27.0,54,10.7,-0.8660254037844385,9.266471820493491,5.350000000000004,35.580555555555556,863.9166666666666,43.36944444444445,10.621094605829493,13.138830070970094,0.0,0.7763975155279502,0,0
2025-11-12 17:00:00,95,24.2,30.2,441.0,15.0,32.0,137.0,0.15,26.6,54,9.9,-0.9659258262890683,9.360633898433237,3.2231247291258507,34.86944444444444,844.4166666666666,42.574999999999996,10.663891125835082,13.237397821909228,0.0,0.8013245033112583,1,0
